id,name,inn
1,"Яндекс ОФД",7704358518
2,"Компания Тензор",7605016030
3,"ООО ПЕТЕР-СЕРВИС",7841465198
4,"ООО Такском",7704211201
5,"Первый ОФД",7709364346
6,"ООО Эвотор ОФД",9715260691
7,"ОФД Ярус",7728699517
